2023-09-18 14:39:01,733 [WARN ] o.a.kafka.clients.NetworkClient - [Producer clientId=producer-1] Connection to node 0 (KMG-GGN-258/192.168.105.252:9092) could not be established. Broker may not be available.
2023-09-18 14:39:01,747 [WARN ] o.a.kafka.clients.NetworkClient - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Connection to node 0 (KMG-GGN-258/192.168.105.252:9092) could not be established. Broker may not be available.
2023-09-18 14:39:03,865 [WARN ] o.a.kafka.clients.NetworkClient - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Connection to node 0 (KMG-GGN-258/192.168.105.252:9092) could not be established. Broker may not be available.
2023-09-18 14:39:03,865 [WARN ] o.a.kafka.clients.NetworkClient - [Producer clientId=producer-1] Connection to node 0 (KMG-GGN-258/192.168.105.252:9092) could not be established. Broker may not be available.
2023-09-18 14:39:06,116 [WARN ] o.a.kafka.clients.NetworkClient - [Producer clientId=producer-1] Connection to node 0 (KMG-GGN-258/192.168.105.252:9092) could not be established. Broker may not be available.
2023-09-18 14:39:06,162 [WARN ] o.a.kafka.clients.NetworkClient - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Connection to node 0 (KMG-GGN-258/192.168.105.252:9092) could not be established. Broker may not be available.
2023-09-18 14:39:08,601 [WARN ] o.a.kafka.clients.NetworkClient - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Connection to node 0 (KMG-GGN-258/192.168.105.252:9092) could not be established. Broker may not be available.
2023-09-18 14:39:08,665 [WARN ] o.a.kafka.clients.NetworkClient - [Producer clientId=producer-1] Connection to node 0 (KMG-GGN-258/192.168.105.252:9092) could not be established. Broker may not be available.
2023-09-18 14:39:11,406 [WARN ] o.a.kafka.clients.NetworkClient - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Connection to node 0 (KMG-GGN-258/192.168.105.252:9092) could not be established. Broker may not be available.
2023-09-18 14:39:11,608 [WARN ] o.a.kafka.clients.NetworkClient - [Producer clientId=producer-1] Connection to node 0 (KMG-GGN-258/192.168.105.252:9092) could not be established. Broker may not be available.
2023-09-18 14:39:14,581 [WARN ] o.a.kafka.clients.NetworkClient - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Connection to node 0 (KMG-GGN-258/192.168.105.252:9092) could not be established. Broker may not be available.
